source_artifact,model_id,environment,decoder,label_mapping,decoder_value_gap
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,greedy,A-B-C,-0.9211686855455636
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,temperature_0.5,A-B-C,-0.5334359766586545
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,temperature_1.5,A-B-C,0.193361389248876
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_k_2,A-B-C,-0.3040641142869992
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_p_0.6,A-B-C,-0.9211686855455636
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_p_0.9,A-B-C,-0.020171178133453344
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,min_p_0.1,A-B-C,0.0
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,min_p_0.3,A-B-C,-0.3040641142869992
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,temperature_0.5_then_top_p_0.8,A-B-C,-0.9211686855455636
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_p_0.8_then_temperature_0.5,A-B-C,-0.6460496295860678
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,greedy,A-C-B,-1.1130816018187892
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,temperature_0.5,A-C-B,-0.27933281083665196
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,temperature_1.5,A-C-B,0.08015918071792633
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_k_2,A-C-B,-0.021737180004131385
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_p_0.6,A-C-B,-0.9342059791144679
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,top_p_0.9,A-C-B,-0.021737180004131385
results/qwen2.5-0.5b-service-recovery.analysis.json,Qwen/Qwen2.5-0.5B-Instruct,service_recovery,min_p_0.1,A-C-B,-0.01587639444950717
